LotArea,OverallQual,OverallCond,YearBuilt,TotalBsmtSF,GrLivArea,GarageCars,GarageArea,SalePrice
9317,6,5,2006,1314,1314,2,440,176432
6882,6,7,1914,684,1355,0,0,127000
3696,8,5,1986,1074,1088,2,461,170000
6000,4,6,1936,672,1324,1,240,128000
11880,7,5,1978,1271,1601,2,478,157000
8400,2,5,1920,290,438,1,246,60000
9758,5,5,1971,950,950,1,280,119500
7000,5,7,1960,1010,1134,1,254,135000
8910,6,6,1959,655,1194,2,539,159500
2016,5,5,1970,630,1302,2,440,106000
12256,8,5,1994,1463,2622,2,712,325000
10357,7,5,1990,910,1442,2,719,179900
23257,7,5,2006,868,2021,2,422,274725
8063,6,5,2000,924,1690,2,463,181000
11362,8,5,2004,1836,1836,3,862,280000
8000,6,5,1995,773,1658,2,431,188000
10480,7,6,1976,803,1964,2,483,205000
7100,5,7,1957,816,816,1,308,129900
8923,5,7,1953,1008,1008,1,240,134500
5400,5,7,1954,833,833,1,326,117000
12085,8,5,2007,1734,1734,3,928,318000
7750,8,5,2002,408,1419,2,527,184100
9764,5,7,1967,894,894,2,450,130000
13825,5,6,1958,533,1601,1,300,140000
7560,5,5,1959,1040,1040,1,286,133700
8263,6,5,1920,1012,1012,1,308,118400
10084,7,5,2005,1552,1552,3,782,212900
8926,4,3,1956,672,960,1,288,112000
9405,5,9,1947,698,698,0,0,118000
9125,7,5,1992,384,1482,2,392,163900
10434,4,5,1955,1005,1005,2,672,115000
3684,7,5,2007,1373,1555,3,660,174000
14572,7,5,2004,1530,1530,3,630,259000
11796,7,5,2004,847,1959,2,434,215000
7200,5,5,1980,936,936,2,672,140000
7804,4,3,1928,1122,1981,2,576,135000
10712,5,5,1991,974,974,0,0,93500
9900,6,4,1880,1008,2210,1,205,117500
9828,8,5,1995,1128,2020,2,466,239500
8773,6,5,1997,916,1600,2,460,169000
6180,6,5,1926,960,986,1,180,102000
9600,6,5,1950,1032,1252,1,288,119000
6342,5,8,1875,780,1020,0,0,94000
9819,6,5,1977,1567,1567,2,714,196000
8731,5,5,1920,915,1167,2,495,144000
7350,5,7,1951,952,952,2,840,139000
10304,5,7,1976,780,1868,2,484,197500
9965,8,5,2006,1466,2828,3,1052,424870
9000,5,3,1959,1006,1006,0,0,80000
12180,4,4,1941,672,924,1,280,80000
6240,5,6,1928,1042,1576,1,225,149000
11200,6,5,1985,1298,1298,2,403,180000
12000,7,7,1941,704,1564,1,234,174500
5700,7,7,1926,572,1111,1,288,116900
9000,7,9,1920,650,1482,2,324,143000
8280,6,5,1950,932,932,1,306,124000
17755,5,4,1959,1466,1466,2,528,149900
14115,6,7,1956,1073,1811,2,470,230000
5890,6,8,1930,816,816,1,432,120500
13700,7,6,1965,864,1820,2,492,201800
10768,5,8,1976,1437,1437,2,528,218000
9350,5,8,1965,1219,1265,2,502,179900
5001,7,5,2007,1314,1314,2,626,230000
11932,8,5,2007,1580,1580,3,830,235128
9120,6,6,1974,901,1876,2,540,185000
2280,6,5,1978,855,1456,2,440,146000
14778,6,7,1954,1296,1640,2,924,224000
8724,5,5,1968,894,894,2,450,129000
12900,4,4,1969,1198,1258,2,400,108959
16157,5,7,1978,1360,1432,2,588,194000
9541,7,5,2009,1502,1502,2,644,233170
10475,8,5,2008,1694,1694,3,776,245350
10852,6,5,2000,959,1671,2,472,173000
13728,6,7,1935,1127,2108,2,540,235000
35760,10,5,1995,1930,3627,3,807,625000
9880,6,6,1977,1096,1118,1,358,171000
9120,6,6,1958,1261,1261,2,433,163000
4017,7,5,2006,625,1250,2,625,171900
18030,5,6,1946,1598,3086,0,0,200500
16560,6,8,1932,952,2345,2,360,239000
10678,8,5,1992,1683,2872,2,541,285000
6951,5,5,1984,876,923,1,264,119500
3950,6,8,1926,818,1224,1,210,115000
7681,5,6,1921,731,1343,1,186,154900
8335,5,5,1954,0,1124,0,0,93000
11170,7,5,1990,1216,2514,2,693,250000
5587,8,5,2008,1600,1652,2,482,392500
15623,10,5,1996,2396,4476,3,813,745000
10800,5,6,1920,1120,1130,2,720,120000
35133,5,4,1963,1572,1572,3,995,186700
9738,5,7,1924,784,1221,1,392,104900
10615,3,5,1900,978,1699,2,420,95000
12461,8,5,1994,1624,1624,3,757,262000
8935,7,5,2002,831,1660,2,493,195000
7500,7,5,1999,994,1804,2,442,189000
32463,4,4,1961,1249,1622,4,1356,168000
2645,8,5,1999,776,1441,2,492,174000
9600,5,8,1925,702,1472,1,250,125000
4500,6,5,1999,1224,1224,2,402,165000
9364,6,7,1969,663,1352,1,299,158000
8029,6,5,2005,728,1456,2,400,176000
14054,7,5,2006,879,1863,3,660,219210
8850,7,6,1916,815,1690,1,225,144000
9100,7,5,2001,1212,1212,2,573,178000
11235,4,5,1963,1051,1382,2,459,148000
9353,4,5,1970,864,864,1,280,116050
10400,7,5,1998,866,1779,2,546,197900
6000,5,8,1925,884,1348,1,216,117000
9750,7,5,2000,1630,1630,2,451,213000
10140,5,6,1975,1056,1074,2,495,153500
14684,7,7,1990,2158,2196,3,701,271900
8900,4,4,1966,1056,1056,1,384,107000
9135,6,5,2003,1682,1700,2,544,200000
7763,5,7,1962,931,1283,2,506,140000
10182,8,5,2006,1660,1660,2,500,290000
11218,6,5,1992,1055,1845,2,462,189000
12134,8,7,1988,559,1752,2,492,164000
9340,4,6,1941,672,672,1,234,113000
10246,4,9,1965,648,960,1,364,145000
10205,5,5,1962,925,999,1,300,134500
7094,5,5,1966,894,894,1,384,125000
8930,6,5,1978,0,1902,2,539,112000
8640,8,5,2009,1300,1314,2,552,229456
6240,4,5,1947,0,912,0,0,80500
1680,6,5,1971,672,1218,0,0,91500
7800,5,5,1964,912,912,1,288,115000
8250,5,5,1968,952,1211,1,322,134000
10496,6,6,1949,1040,1846,1,315,143000
10680,5,3,1951,2136,2136,2,528,137900
15384,7,5,2004,788,1490,2,388,184000
10482,6,8,1958,588,1138,1,264,145000
14598,6,5,2007,894,1933,3,668,214000
8872,5,8,1965,912,912,2,576,147000
8769,9,5,2008,1702,1702,3,1052,367294
7910,5,5,1960,1075,1507,1,404,127000
18890,5,5,1977,1361,2620,2,600,190000
7728,5,6,1962,1106,1190,2,540,132500
9842,4,5,1962,0,1224,2,462,101800
12160,5,5,1959,1188,1188,2,531,142000
8525,5,6,1911,940,1964,0,0,130000
13132,5,5,1914,747,1784,1,180,138887
2628,7,5,2003,764,1626,2,474,175500
12393,7,5,2004,847,1948,2,434,195000
13072,6,5,2005,1141,1141,2,484,142500
9037,8,5,2006,1476,1484,2,472,265900
8158,7,5,2003,884,1768,2,543,224900
9849,7,6,2007,1689,1689,3,954,248328
10625,7,6,1974,1053,1173,2,528,170000
13891,10,5,2006,2076,2076,3,850,465000
11435,8,7,1929,792,1517,2,400,230000
12090,6,7,1984,585,1868,2,477,178000
8125,7,5,2005,756,1553,2,615,186500
12328,6,5,1976,1012,1034,3,888,169900
9600,6,5,1917,735,2058,2,396,129500
7200,5,7,1950,876,988,1,276,119000
11160,7,5,1968,2110,2110,2,522,244000
3136,7,5,2003,1405,1405,2,478,171750
9858,5,6,1968,864,874,1,288,130000
17542,7,7,1974,1192,2167,2,518,294000
6931,7,5,2003,746,1656,2,397,165400
6240,6,6,1931,884,1367,1,560,127500
14303,8,5,1994,1986,1987,2,691,301500
4060,5,8,1922,864,864,0,0,99900
9587,7,5,2005,856,1166,2,400,190000
9750,6,8,1969,1054,1054,2,460,151000
24682,6,5,1999,841,1675,2,502,181000
9600,5,6,1956,1050,1050,1,338,128900
11250,4,5,1957,1104,1788,1,304,161500
13515,6,6,1919,764,1824,2,520,180500
4060,6,5,1998,1405,1337,2,511,181000
3735,7,5,1999,691,1452,2,506,183900
10120,7,4,1910,925,1889,1,308,122000
13214,9,5,2008,2002,2018,3,746,378500
14100,8,9,1935,728,3447,3,1014,381000
11344,5,5,1958,874,1524,1,315,144000
23595,7,6,1979,1332,1524,2,586,260000
9156,6,7,1968,1489,1489,2,462,185750
13526,5,6,1965,935,935,1,288,137000
11512,6,7,1959,1019,1357,1,312,177000
5362,5,6,1910,661,1250,2,552,139000
11345,5,5,1948,928,1920,2,400,137000
12936,6,6,1972,723,1395,2,497,162000
17871,6,5,1967,1680,1724,2,480,197900
9473,8,5,2002,1128,2031,2,577,237000
7500,4,4,1920,698,1128,2,528,68400
9808,7,5,2002,1573,1573,2,544,227000
8049,7,5,1990,1309,1339,2,484,180000
8800,5,7,1977,1040,1040,2,484,150500
9400,6,5,1971,912,1824,0,0,139000
9638,6,7,1919,804,2447,1,336,169000
6000,6,6,1939,780,1412,1,280,132500
9790,6,5,1963,1328,1328,2,528,143000
36500,5,5,1964,1624,1582,2,390,190000
5664,8,5,2000,1501,1659,2,499,278000
11065,8,5,2006,1085,1970,3,753,281000
14112,5,7,1964,1152,1152,2,484,180500
1680,5,7,1972,630,1302,1,264,119500
6600,5,4,1892,994,2372,1,432,107500
10140,7,5,1976,832,1664,2,528,162900
8172,5,7,1955,864,864,2,572,115000
8400,5,5,1968,1052,1052,1,288,138500
8700,5,6,1963,1120,1128,2,525,155000
3675,6,5,2005,547,1072,2,525,140000
63887,10,5,2008,6110,5642,2,1418,160000
7500,5,7,1959,1246,1246,1,305,154000
10762,7,5,1999,978,1983,2,490,225000
7500,6,7,1942,771,1494,1,213,177500
10120,8,5,1994,1165,2526,3,844,290000
8688,7,5,2005,1616,1616,3,834,232000
3363,7,5,2004,976,1708,2,380,130000
13173,9,5,2006,1652,1652,2,840,325000
6955,7,5,2005,1368,1368,2,474,202500
8072,5,5,1994,990,990,2,480,138000
12000,5,7,1948,924,1122,2,528,147000
7153,6,5,1991,1278,1294,2,496,179200
17500,7,8,1959,1902,1902,2,567,335000
8814,7,5,2005,1274,1274,2,508,203000
9572,8,5,1990,1453,2810,2,750,302000
14774,9,5,1999,1393,2599,3,779,333168
8190,4,6,1954,948,948,1,280,119000
11075,6,5,1969,952,2112,2,576,206900
10226,8,5,2008,1622,1630,3,860,295493
4230,7,5,2006,1352,1352,2,466,208900
14781,8,5,2001,1753,1787,3,748,275000
10215,4,5,1954,864,948,1,248,111000
8400,6,3,1957,1478,1478,2,442,156500
6627,3,6,1949,0,720,1,287,72500
10186,7,5,1992,750,1923,2,564,190000
5330,4,7,1940,420,708,0,0,82500
9986,8,5,2006,1795,1795,3,895,147000
3636,4,4,1922,796,796,0,0,55000
4270,3,6,1931,544,774,0,0,79000
6600,5,9,1982,816,816,1,264,130500
10440,6,7,1920,1510,2792,2,520,256000
9084,7,5,1998,935,1632,2,462,176500
10000,8,5,2006,1588,1588,3,825,227000
10780,5,5,1976,911,954,2,576,132500
8877,4,6,1938,816,816,1,288,100000
7200,5,6,1938,803,1360,1,297,125500
2368,5,6,1970,765,1365,2,440,125000
9650,6,5,1977,1350,1334,2,630,167900
9246,5,5,1973,1656,1656,2,506,135000
4118,4,4,1941,693,693,0,0,52500
13450,7,5,2002,916,1861,2,492,200000
9560,5,7,1972,864,864,1,288,128500
8294,4,5,1971,858,872,4,480,123000
13695,6,5,2003,1114,1114,2,576,155000
9375,8,5,2002,1284,2169,2,647,228500
7558,6,6,1928,896,1913,2,342,177000
11103,7,5,2006,728,1456,2,440,155835
6000,4,4,1920,960,960,1,308,108500
20781,7,7,1968,1568,2156,2,508,262500
15306,8,5,2006,1732,1776,3,712,283463
16196,7,5,1998,1482,1494,2,514,215000
5250,8,5,1872,684,2358,0,0,122000
11643,5,5,1969,1248,2634,4,968,200000
9247,6,6,1962,858,1716,2,490,171000
6000,6,9,1937,698,1176,2,624,134900
14720,8,5,1995,2033,3238,3,666,410000
10316,7,5,2000,992,1865,3,839,235000
10192,7,6,1968,570,1920,2,487,170000
9477,5,5,1966,864,892,1,264,110000
12537,5,6,1971,1078,1078,2,500,149900
2117,6,5,2000,756,1573,2,440,177500
16737,9,5,2004,1980,1980,3,770,315000
9842,5,6,1921,612,2601,2,621,189000
16158,7,5,2005,1530,1530,2,430,260000
12513,4,4,1920,715,1738,1,368,104900
8499,6,5,2006,616,1412,2,432,156932
3180,7,5,2005,600,1200,2,480,144152
7500,7,5,2000,814,1674,2,663,216000
9179,7,5,1999,873,1790,2,588,193000
2665,5,6,1977,757,1475,1,336,127000
4435,6,5,2003,848,848,2,420,144000
10635,8,5,2003,1657,1668,2,502,232000
5400,4,6,1920,840,1374,1,338,105000
9600,6,6,1955,992,1661,1,377,165500
9750,7,6,1998,1108,2097,2,583,274300
11400,10,5,2001,2633,2633,3,804,466500
10625,7,5,2005,1026,1958,3,936,250000
10991,8,5,2007,1571,1571,3,722,239000
6292,6,5,1930,768,790,1,160,91000
10998,5,5,1941,984,1604,2,660,117000
1953,6,5,1973,483,987,1,264,83000
9735,5,5,2006,384,1394,2,400,167500
8212,3,3,1914,864,864,1,200,58500
12925,6,7,1970,1205,2117,2,550,237500
7200,7,7,1920,596,1762,2,576,157000
25339,5,7,1918,816,1416,2,576,112000
9060,6,5,1939,560,1258,1,280,105000
5436,4,8,1922,796,1154,1,240,125500
16692,7,5,1978,1392,2784,2,564,250000
8520,6,7,1916,714,2526,1,216,136000
14892,9,5,2006,1746,1746,3,758,377500
6000,6,6,1941,735,1218,2,440,131000
9100,7,5,2000,1525,1525,2,541,235000
8944,5,5,1967,1584,1584,3,792,124000
7838,5,5,1967,864,900,1,288,123000
10800,6,7,1905,482,1912,2,672,163000
4045,7,5,2006,1356,1500,3,648,246578
12665,8,5,2005,1094,2482,3,642,281213
57200,5,5,1948,747,1687,2,572,160000
6120,5,8,1920,939,1513,1,180,137500
7200,5,4,1950,1208,1904,1,240,138000
6171,6,6,1925,976,1608,1,216,137450
6000,6,7,1929,862,1158,1,208,120000
7415,6,5,2004,839,1593,2,398,193000
6762,7,5,2006,1286,1294,2,662,193879
15256,8,5,2007,1485,1464,3,754,282922
10410,3,4,1915,672,1214,3,936,105000
3842,8,5,2004,1594,1646,2,482,275000
8445,5,7,1972,768,768,2,396,133000
8780,5,5,1985,833,833,0,0,112000
7740,4,7,1910,622,1363,2,528,125500
20544,7,6,1986,791,2093,2,542,215000
12420,7,5,2001,944,1840,2,622,230000
9600,6,8,1950,856,1668,1,271,140000
7200,4,5,1949,0,1040,2,420,90000
10994,8,5,2005,1844,1844,2,620,257000
13053,6,7,1923,833,1848,2,370,207000
3635,7,5,2007,1386,1569,3,660,175900
11340,4,6,1885,777,2290,2,560,122500
16545,8,5,1998,1284,2450,3,1069,340000
9204,5,5,1963,1144,1144,1,336,124000
16381,6,5,1969,1844,1844,2,540,223000
11700,6,6,1968,708,1416,2,776,179900
4043,6,5,1977,1069,1069,2,440,127500
4435,6,5,2003,848,848,2,420,136500
19690,6,7,1966,697,2201,2,432,274970
9503,5,5,1958,1024,1344,1,484,144000
10721,6,6,1959,1252,1252,2,528,142000
10944,7,5,1994,1223,2127,2,525,271000
10930,5,6,1945,913,1558,1,288,140000
7200,5,7,1940,788,804,1,240,119000
12546,6,7,1981,1440,1440,2,467,182900
21930,5,5,2005,732,1838,2,372,192140
4928,6,6,1976,958,958,2,440,143750
10800,4,6,1927,656,968,1,216,64500
10261,6,5,2000,936,1792,2,451,186500
17400,5,5,1977,1126,1126,2,484,160000
8400,6,9,1962,1319,1537,2,462,174000
9000,4,6,1971,864,864,2,528,120500
12444,8,5,2008,1932,1932,3,774,394617
7407,6,7,1957,912,1236,2,923,149700
11584,7,6,1979,539,1725,2,550,197000
11526,6,7,1922,588,2555,2,672,191000
4426,6,5,2004,848,848,2,420,149300
11003,10,5,2008,1017,2007,3,812,310000
8854,6,6,1916,952,952,1,192,121000
8500,7,5,2004,1422,1422,2,626,179600
8400,6,5,1966,814,913,1,240,129000
26142,5,7,1962,1188,1188,1,312,157900
10000,8,5,1995,1220,2090,2,556,240000
11767,4,7,1910,560,1346,1,384,112000
1533,5,7,1970,630,630,0,0,92000
9000,5,5,1974,896,1792,0,0,136000
9262,8,5,2008,1573,1578,3,840,287090
3675,5,5,2005,547,1072,2,525,145000
17217,5,5,2006,1140,1140,0,0,84500
7500,7,5,2004,1221,1221,2,400,185000
7917,6,5,1999,953,1647,2,460,175000
13175,6,6,1978,1542,2073,2,500,210000
9042,7,9,1941,1152,2340,1,252,266500
9717,5,6,1950,1078,1078,1,240,142125
9937,5,6,1965,1256,1256,1,276,147500
